Timestamp,Labels,I_w_BLO_Weg,O_w_BLO_power,O_w_BLO_voltage,I_w_BHL_Weg,O_w_BHL_power,O_w_BHL_voltage,I_w_BHR_Weg,O_w_BHR_power,O_w_BHR_voltage,I_w_BRU_Weg,O_w_BRU_power,O_w_BRU_voltage,I_w_HR_Weg,O_w_HR_power,O_w_HR_voltage,I_w_HL_Weg,O_w_HL_power,O_w_HL_voltage
0,0,7,0,0,-547,0,0,-874,12,1,-32,0,0,0,2560,24,0,3434,24
0.0439987182617188,0,7,0,0,-547,0,0,-874,12,1,-32,0,0,0,2560,24,0,3434,24
0.0999984741210938,0,7,0,0,-547,0,0,-874,12,1,-32,0,0,0,2560,24,0,3434,24
0.143997192382813,0,7,0,0,-547,0,0,-874,12,1,-32,0,0,0,2560,24,0,3434,24
0.249000549316406,0,7,0,0,-547,0,0,-874,7,1,22,18471,47,0,5764,26,0,5008,24
0.292999267578125,0,7,0,0,-547,0,0,-874,7,1,22,18471,47,0,5764,26,0,5008,24
0.350997924804688,0,7,0,0,-547,0,0,-874,7,1,22,18471,47,0,5764,26,0,5008,24
0.394996643066406,0,7,0,0,-547,0,0,-874,4,1,92,21777,50,0,5972,26,0,3434,24
0.496002197265625,0,7,0,0,-547,0,0,-874,4,1,92,21777,50,0,5972,26,0,3434,24
0.541999816894531,0,7,0,0,-547,0,0,-874,4,1,92,21777,50,0,5972,26,0,3434,24
0.5989990234375,0,7,0,0,-547,0,0,-874,2,0,163,17199,47,0,6492,26,0,5440,23
0.642997741699219,0,7,0,0,-547,0,0,-874,2,0,163,17199,47,0,6492,26,0,5440,23
0.742996215820313,0,7,0,0,-547,0,0,-874,2,0,163,17199,47,0,6492,26,0,5440,23
0.797996520996094,0,7,0,0,-547,0,0,-874,2,0,163,17199,47,0,6492,26,0,5440,23
0.850997924804688,0,7,0,0,-547,0,0,-874,2,0,163,17199,47,0,6492,26,0,5440,23
0.898002624511719,0,7,0,0,-547,0,0,-874,0,1,231,25630,55,0,6648,24,0,3434,26
0.996002197265625,0,7,0,0,-547,0,0,-874,0,1,231,25630,55,0,6648,24,0,3434,26
1.05400085449219,0,7,0,0,-547,0,0,-874,0,1,231,25630,55,0,6648,24,0,3434,26
1.09799957275391,0,7,0,0,-547,0,0,-874,0,0,302,18150,50,0,7168,26,0,3434,26
1.19999694824219,0,7,0,0,-547,0,0,-874,0,0,302,18150,50,0,7168,26,0,3434,26
1.24900054931641,0,7,0,0,-547,0,0,-874,0,0,302,18150,50,0,7168,26,0,3434,26
1.29499816894531,0,7,0,0,-547,0,0,16,19150,50,372,17595,50,0,7168,26,0,5440,24
1.35099792480469,0,7,0,0,-547,0,0,16,19150,50,372,17595,50,0,7168,26,0,5440,24
1.39599609375,0,7,0,0,-547,0,0,16,19150,50,372,17595,50,0,7168,26,0,5440,24
1.4949951171875,0,7,0,0,-547,0,0,16,19150,50,372,17595,50,0,7168,26,0,5440,24
1.54399871826172,0,7,0,0,-547,0,0,16,19150,50,372,17595,50,0,7168,26,0,5440,24
1.58100128173828,0,7,0,0,-547,0,0,86,17800,50,442,16400,50,0,9950,26,0,5440,24
1.64800262451172,0,7,0,0,-547,0,0,86,17800,50,442,16400,50,0,9950,26,0,5440,24
1.74800109863281,0,7,0,0,-547,0,0,155,17640,50,511,17640,50,0,11874,27,0,5440,24
1.80500030517578,0,7,0,0,-547,0,0,155,17640,50,511,17640,50,0,11874,27,0,5440,24
1.85099792480469,0,7,0,0,-547,0,0,155,17640,50,511,17640,50,0,11874,27,0,5440,24
1.90999603271484,0,7,0,0,-547,0,0,155,17640,50,511,17640,50,0,11874,27,0,5440,24
2.00099945068359,0,7,0,0,-547,0,0,155,17640,50,511,17640,50,0,11874,27,0,5440,24
2.05599975585938,0,7,0,0,-547,0,0,226,19450,50,565,594,9,0,15049,27,0,5440,24
2.10399627685547,0,7,0,0,-547,0,0,226,19450,50,565,594,9,0,15049,27,0,5440,24
2.15899658203125,0,7,0,0,-547,0,0,226,19450,50,565,594,9,0,15049,27,0,5440,24
2.19999694824219,0,7,0,0,-547,0,0,296,26049,57,565,0,0,0,28142,39,0,16076,36
2.30899810791016,0,7,0,0,-547,0,0,296,26049,57,565,0,0,0,28142,39,0,16076,36
2.35599517822266,0,7,0,0,-547,0,0,296,26049,57,565,0,0,0,28142,39,0,16076,36
2.40000152587891,0,7,0,0,-547,0,0,426,14888,92,565,0,0,-40,6488,110,-41,9152,108
2.45600128173828,0,7,0,0,-547,0,0,426,14888,92,565,0,0,-40,6488,110,-41,9152,108
2.55899810791016,0,7,0,0,-547,0,0,426,14888,92,565,0,0,-40,6488,110,-41,9152,108
2.60299682617188,0,7,0,0,-547,0,0,426,14888,92,565,0,0,-40,6488,110,-41,9152,108
2.65899658203125,0,7,0,0,-547,0,0,566,12262,93,565,0,0,-143,4737,185,-145,11298,179
2.70299530029297,0,7,0,0,-547,0,0,566,12262,93,565,0,0,-143,4737,185,-145,11298,179
2.80500030517578,0,7,0,0,-547,0,0,566,12262,93,565,0,0,-143,4737,185,-145,11298,179
2.8489990234375,0,7,0,0,10,3772,61,704,1116,84,565,0,0,-307,10744,241,-310,18476,251
2.90699768066406,0,7,0,0,10,3772,61,704,1116,84,565,0,0,-307,10744,241,-310,18476,251
2.94400024414063,0,7,0,0,10,3772,61,704,1116,84,565,0,0,-307,10744,241,-310,18476,251
3.05899810791016,0,7,0,0,138,24268,97,778,1800,14,565,0,0,-518,10998,239,-521,30253,231
3.10299682617188,0,7,0,0,138,24268,97,778,1800,14,565,0,0,-518,10998,239,-521,30253,231
3.15799713134766,0,7,0,0,138,24268,97,778,1800,14,565,0,0,-518,10998,239,-521,30253,231
3.20299530029297,0,7,0,0,138,24268,97,778,1800,14,565,0,0,-518,10998,239,-521,30253,231
3.30300140380859,0,7,0,0,279,16442,94,781,0,0,565,0,0,-685,7262,165,-687,9302,177
3.35199737548828,0,7,0,0,279,16442,94,781,0,0,565,0,0,-685,7262,165,-687,9302,177
3.40699768066406,0,7,0,0,279,16442,94,781,0,0,565,0,0,-685,7262,165,-687,9302,177
3.47100067138672,0,7,0,0,417,17772,94,781,0,0,565,0,0,-790,7972,108,-790,28032,108
3.55500030517578,0,7,0,0,417,17772,94,781,0,0,565,0,0,-790,7972,108,-790,28032,108
3.61000061035156,0,7,0,0,417,17772,94,781,0,0,565,0,0,-790,7972,108,-790,28032,108
3.65200042724609,0,7,0,0,417,17772,94,781,0,0,565,0,0,-790,7972,108,-790,28032,108
3.69999694824219,0,7,0,0,417,17772,94,781,0,0,565,0,0,-790,7972,108,-790,28032,108
3.75199890136719,0,7,0,0,561,14257,97,781,0,0,565,0,0,-832,29332,36,-832,4859,39
3.86199951171875,0,7,0,0,561,14257,97,781,0,0,565,0,0,-832,29332,36,-832,4859,39
3.90799713134766,0,7,0,0,561,14257,97,781,0,0,565,0,0,-832,29332,36,-832,4859,39
3.95600128173828,0,1,3485,17,700,16958,97,781,0,0,565,0,0,-833,11744,26,-833,23492,29
4.01100158691406,0,1,3485,17,700,16958,97,781,0,0,565,0,0,-833,11744,26,-833,23492,29
4.11199951171875,0,1,3485,17,700,16958,97,781,0,0,565,0,0,-833,11744,26,-833,23492,29
4.15999603271484,0,1,3485,17,700,16958,97,781,0,0,565,0,0,-833,11744,26,-833,23492,29
4.21499633789063,0,48,19656,51,832,15078,95,781,0,0,565,0,0,-833,10626,26,-833,23202,31
4.25899505615234,0,48,19656,51,832,15078,95,781,0,0,565,0,0,-833,10626,26,-833,23202,31
4.36199951171875,0,48,19656,51,832,15078,95,781,0,0,565,0,0,-833,10626,26,-833,23202,31
4.40599822998047,0,117,24255,55,924,6183,27,781,0,0,565,0,0,-833,9222,26,-833,16102,27
4.44100189208984,0,117,24255,55,924,6183,27,781,0,0,565,0,0,-833,9222,26,-833,16102,27
4.51000213623047,0,117,24255,55,924,6183,27,781,0,0,565,0,0,-833,9222,26,-833,16102,27
4.61299896240234,0,187,23244,52,931,234,2,781,0,0,565,0,0,-833,4912,26,-833,10574,27
4.66099548339844,0,187,23244,52,931,234,2,781,0,0,565,0,0,-833,4912,26,-833,10574,27
4.71699523925781,0,187,23244,52,931,234,2,781,0,0,565,0,0,-833,4912,26,-833,10574,27
4.79299926757813,0,257,20451,51,931,230,2,781,0,0,565,0,0,-833,7168,24,-833,7090,26
4.86699676513672,0,257,20451,51,931,230,2,781,0,0,565,0,0,-833,7168,24,-833,7090,26
4.90699768066406,0,257,20451,51,931,230,2,781,0,0,565,0,0,-833,7168,24,-833,7090,26
4.96699523925781,0,257,20451,51,931,230,2,781,0,0,565,0,0,-833,7168,24,-833,7090,26
